100 16
13 3 6 13 6 12 3 12 1 14 10 11 6 2 5 10 
1 4 7
20 23 7
9 13 4
4 7 3
13 16 8
12 14 12
6 8 15
11 15 1
2 6 4
23 4 9
15 18 16
7 11 1
20 0 10
7 9 2
16 19 15
10 13 7
0 3 2
8 12 2
19 20 13
6 10 7
9 11 11
22 1 16
3 7 11
16 20 2
19 22 9
10 14 4
19 22 5
6 9 12
5 8 14
22 1 6
20 22 5
16 20 8
3 6 13
7 10 2
19 22 15
19 22 11
9 13 7
9 12 12
15 17 12
22 2 12
5 6 5
4 8 15
11 14 13
22 2 6
13 17 13
12 16 3
10 14 12
23 3 13
10 14 14
0 3 6
4 6 7
15 18 13
8 12 8
8 10 14
2 4 3
22 2 16
15 20 1
16 20 1
3 6 16
15 18 4
13 18 15
12 15 5
1 4 10
20 1 14
8 12 1
15 17 6
1 6 4
21 0 9
18 20 10
1 4 12
8 9 7
17 19 15
11 14 10
15 16 6
11 14 1
8 12 12
2 4 12
22 1 14
2 5 16
5 7 9
0 3 9
9 12 14
16 20 12
1 6 13
4 8 1
21 1 3
23 5 9
13 17 13
0 3 10
18 20 5
4 8 6
0 5 15
11 15 9
16 17 11
13 15 14
14 18 3
2 6 9
3 5 10
9 12 16
5 6 6
