Movies watched: 11
Movie start: 0, end: 2, category: 4
Movie start: 2, end: 5, category: 1
Movie start: 5, end: 7, category: 4
Movie start: 7, end: 9, category: 1
Movie start: 9, end: 11, category: 1
Movie start: 11, end: 13, category: 4
Movie start: 13, end: 15, category: 4
Movie start: 15, end: 17, category: 3
Movie start: 17, end: 20, category: 3
Movie start: 20, end: 23, category: 3
Movie start: 23, end: 27, category: 1
Time elapsed during the exhaustive search algorithm: 4.72874e+06 microseconds
