Movies watched: 24
Movie start: 0, end: 1, category: 39
Movie start: 1, end: 2, category: 142
Movie start: 2, end: 3, category: 14
Movie start: 3, end: 4, category: 46
Movie start: 4, end: 5, category: 99
Movie start: 5, end: 6, category: 9
Movie start: 6, end: 7, category: 107
Movie start: 7, end: 8, category: 114
Movie start: 8, end: 9, category: 117
Movie start: 9, end: 10, category: 50
Movie start: 10, end: 11, category: 101
Movie start: 11, end: 12, category: 67
Movie start: 12, end: 13, category: 56
Movie start: 13, end: 14, category: 108
Movie start: 14, end: 15, category: 102
Movie start: 15, end: 16, category: 143
Movie start: 16, end: 17, category: 29
Movie start: 17, end: 18, category: 140
Movie start: 18, end: 19, category: 141
Movie start: 19, end: 20, category: 90
Movie start: 20, end: 21, category: 32
Movie start: 21, end: 22, category: 19
Movie start: 22, end: 23, category: 143
Movie start: 23, end: 24, category: 121
Time elapsed during the greedy algorithm: 9030 microseconds
